Date,Q
1/31/1980,225
2/29/1980,232
3/31/1980,197
4/30/1980,1030
5/31/1980,1440
6/30/1980,1130
7/31/1980,464
8/31/1980,410
9/30/1980,372
10/31/1980,329
11/30/1980,388
12/31/1980,439
1/31/1981,533
2/28/1981,528
3/31/1981,865
4/30/1981,1250
5/31/1981,1250
6/30/1981,562
7/31/1981,267
8/31/1981,193
9/30/1981,210
10/31/1981,312
11/30/1981,390
12/31/1981,412
1/31/1982,454
2/28/1982,479
3/31/1982,675
4/30/1982,991
5/31/1982,1190
6/30/1982,1020
7/31/1982,416
8/31/1982,376
9/30/1982,284
10/31/1982,239
11/30/1982,322
12/31/1982,398
1/31/1983,490
2/28/1983,468
3/31/1983,748
4/30/1983,1350
5/31/1983,1350
6/30/1983,518
7/31/1983,271
8/31/1983,203
9/30/1983,181
10/31/1983,202
11/30/1983,204
12/31/1983,192
1/31/1984,300
2/29/1984,244
3/31/1984,394
4/30/1984,623
5/31/1984,629
6/30/1984,304
7/31/1984,442
8/31/1984,444
9/30/1984,242
10/31/1984,276
11/30/1984,278
12/31/1984,269
1/31/1985,192
2/28/1985,191
3/31/1985,326
4/30/1985,1160
5/31/1985,1380
6/30/1985,893
7/31/1985,386
8/31/1985,328
9/30/1985,308
10/31/1985,363
11/30/1985,365
12/31/1985,383
1/31/1986,324
2/28/1986,289
3/31/1986,611
4/30/1986,1490
5/31/1986,1430
6/30/1986,695
7/31/1986,266
8/31/1986,239
9/30/1986,253
10/31/1986,238
11/30/1986,258
12/31/1986,252
1/31/1987,166
2/28/1987,166
3/31/1987,180
4/30/1987,936
5/31/1987,1110
6/30/1987,1010
7/31/1987,468
8/31/1987,243
9/30/1987,263
10/31/1987,286
11/30/1987,267
12/31/1987,290
1/31/1988,278
2/29/1988,270
3/31/1988,602
4/30/1988,1580
5/31/1988,1420
6/30/1988,688
7/31/1988,369
8/31/1988,303
9/30/1988,281
10/31/1988,265
11/30/1988,245
12/31/1988,221
1/31/1989,363
2/28/1989,510
3/31/1989,754
4/30/1989,757
5/31/1989,594
6/30/1989,342
7/31/1989,248
8/31/1989,242
9/30/1989,166
10/31/1989,212
11/30/1989,214
12/31/1989,362
1/31/1990,395
2/28/1990,482
3/31/1990,700
4/30/1990,734
5/31/1990,639
6/30/1990,342
7/31/1990,307
8/31/1990,233
9/30/1990,266
10/31/1990,326
11/30/1990,441
12/31/1990,518
1/31/1991,511
2/28/1991,272
3/31/1991,621
4/30/1991,911
5/31/1991,907
6/30/1991,608
7/31/1991,393
8/31/1991,248
9/30/1991,190
10/31/1991,256
11/30/1991,364
12/31/1991,392
1/31/1992,388
2/29/1992,325
3/31/1992,577
4/30/1992,755
5/31/1992,775
6/30/1992,327
7/31/1992,181
8/31/1992,136
9/30/1992,124
10/31/1992,180
11/30/1992,282
12/31/1992,286
1/31/1993,189
2/28/1993,201
3/31/1993,508
4/30/1993,704
5/31/1993,704
6/30/1993,286
7/31/1993,248
8/31/1993,282
9/30/1993,273
10/31/1993,278
11/30/1993,318
12/31/1993,225
1/31/1994,389
2/28/1994,384
3/31/1994,586
4/30/1994,1250
5/31/1994,1880
6/30/1994,1060
7/31/1994,448
8/31/1994,224
9/30/1994,200
10/31/1994,207
11/30/1994,222
12/31/1994,224
1/31/1995,206
2/28/1995,370
3/31/1995,770
4/30/1995,845
5/31/1995,818
6/30/1995,581
7/31/1995,264
8/31/1995,201
9/30/1995,200
10/31/1995,246
11/30/1995,253
12/31/1995,231
1/31/1996,202
2/29/1996,203
3/31/1996,292
4/30/1996,794
5/31/1996,783
6/30/1996,606
7/31/1996,211
8/31/1996,158
9/30/1996,164
10/31/1996,175
11/30/1996,238
12/31/1996,292
1/31/1997,181
2/28/1997,230
3/31/1997,458
4/30/1997,507
5/31/1997,515
6/30/1997,259
7/31/1997,232
8/31/1997,234
9/30/1997,160
10/31/1997,301
11/30/1997,338
12/31/1997,350
1/31/1998,309
2/28/1998,373
3/31/1998,749
4/30/1998,1320
5/31/1998,1330
6/30/1998,933
7/31/1998,352
8/31/1998,292
9/30/1998,313
10/31/1998,403
11/30/1998,515
12/31/1998,335
1/31/1999,325
2/28/1999,362
3/31/1999,840
4/30/1999,950
5/31/1999,1130
6/30/1999,870
7/31/1999,350
8/31/1999,246
9/30/1999,277
10/31/1999,288
11/30/1999,315
12/31/1999,334
1/31/2000,259
2/29/2000,299
3/31/2000,741
4/30/2000,749
5/31/2000,783
6/30/2000,588
7/31/2000,286
8/31/2000,338
9/30/2000,317
10/31/2000,322
11/30/2000,406
12/31/2000,422
1/31/2001,484
2/28/2001,442
3/31/2001,791
4/30/2001,907
5/31/2001,907
6/30/2001,494
7/31/2001,368
8/31/2001,259
9/30/2001,248
10/31/2001,276
11/30/2001,320
12/31/2001,330
1/31/2002,186
2/28/2002,596
3/31/2002,662
4/30/2002,662
5/31/2002,533
6/30/2002,300
7/31/2002,232
8/31/2002,145
9/30/2002,158
10/31/2002,269
11/30/2002,352
12/31/2002,358
1/31/2003,163
2/28/2003,195
3/31/2003,300
4/30/2003,669
5/31/2003,889
6/30/2003,889
7/31/2003,250
8/31/2003,232
9/30/2003,271
10/31/2003,332
11/30/2003,364
12/31/2003,348
1/31/2004,285
2/29/2004,297
3/31/2004,830
4/30/2004,1110
5/31/2004,1160
6/30/2004,542
7/31/2004,406
8/31/2004,344
9/30/2004,238
10/31/2004,253
11/30/2004,266
12/31/2004,320
1/31/2005,455
2/28/2005,230
3/31/2005,440
4/30/2005,636
5/31/2005,735
6/30/2005,704
7/31/2005,432
8/31/2005,416
9/30/2005,255
10/31/2005,229
11/30/2005,273
12/31/2005,455
1/31/2006,540
2/28/2006,426
3/31/2006,428
4/30/2006,878
5/31/2006,1110
6/30/2006,1060
7/31/2006,441
8/31/2006,285
9/30/2006,365
10/31/2006,395
11/30/2006,424
12/31/2006,426
1/31/2007,426
2/28/2007,463
3/31/2007,699
4/30/2007,735
5/31/2007,691
6/30/2007,392
7/31/2007,214
8/31/2007,212
9/30/2007,198
10/31/2007,239
11/30/2007,257
12/31/2007,334
1/31/2008,277
2/29/2008,264
3/31/2008,540
4/30/2008,580
